x,order1,order2,order3
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0
4.0,86.50621601426774,98.9034298028791,143.86369821558438
5.0,86.45797524131282,98.91036295009002,143.8897152749539
6.0,86.40971951532717,98.9171927782866,143.91571333387168
7.0,86.36144916931624,98.92391987443847,143.9416927537449
8.0,86.31316453628561,98.93054482551526,143.96765389598056
9.0,86.26486594924074,98.93706821848666,143.99359712198583
10.0,86.21655374118725,98.94349064032221,144.0195227931678
11.0,86.1682282451306,98.94981267799159,144.04543127093348
12.0,86.11988979407631,98.95603491846441,144.07132291669004
13.0,86.07153872102997,98.96215794871036,144.09719809184443
14.0,86.02317535899701,98.96818235569897,144.12305715780388
15.0,85.97480004098301,98.97410872639996,144.1489004759754
16.0,85.92641309999348,98.97993764778292,144.17472840776605
17.0,85.87801486903396,98.9856697068175,144.200541314583
18.0,85.82960568110992,98.99130549047334,144.2263395578333
19.0,85.78118586922695,98.99684558572004,144.252123498924
20.0,85.73275576639057,99.00229057952723,144.27789349926218
21.0,85.68431570560621,99.00764105886455,144.30364992025497
22.0,85.63586601987951,99.01289761070164,144.32939312330942
23.0,85.58740704221596,99.01806082200814,144.35512346983262
24.0,85.53893910562105,99.02313127975367,144.3808413212317
25.0,85.49046254310034,99.02810957090786,144.40654703891371
26.0,85.44197768765936,99.03299628244034,144.4322409842857
27.0,85.39348487230356,99.03779200132075,144.4579235187548
28.0,85.34498443003855,99.04249731451874,144.48359500372806
29.0,85.29647669386982,99.04711280900389,144.50925580061264
30.0,85.24796199680286,99.05163907174585,144.53490627081553
31.0,85.19944067184326,99.05607668971426,144.56054677574383
32.0,85.15091305199653,99.06042624987879,144.58617767680465
33.0,85.10237947026812,99.06468833920896,144.6117993354051
34.0,85.05384025966366,99.06886354467453,144.63741211295223
35.0,85.00529575318862,99.07295245324505,144.66301637085311
36.0,84.9567462838485,99.07695565189019,144.68861247051484
37.0,84.90819218464885,99.08087372757956,144.71420077334454
38.0,84.85963378859522,99.08470726728281,144.73978164074924
39.0,84.81107142869313,99.08845685796955,144.7653554341361
40.0,84.762505437948,99.09212308660942,144.79092251491215
41.0,84.71393614936548,99.09570654017205,144.81648324448443
42.0,84.66536389595107,99.09920780562706,144.8420379842601
43.0,84.61678901071022,99.10262746994414,144.86758709564614
44.0,84.56821182664856,99.10596612009282,144.89313094004976
45.0,84.51963267677156,99.10922434304281,144.91866987887798
46.0,84.47105189408471,99.11240272576374,144.944204273538
47.0,84.42246981159361,99.1155018552252,144.9697344854367
48.0,84.37388676230368,99.11852231839686,144.9952608759813
49.0,84.32530307922057,99.12146470224832,145.02078380657883
50.0,84.27671909534972,99.12432959374921,145.04630363863637
51.0,84.22813514369668,99.12711757986918,145.07182073356108
52.0,84.17955155726693,99.12982924757786,145.09733545276
53.0,84.13096866906608,99.1324651838449,145.1228481576402
54.0,84.08238681209957,99.1350259756399,145.14835920960874
