x,order1,order2,order3
912,49.93107,100.91560,
913,49.89979,100.94616,
914,49.86854,100.97685,
915,49.83731,101.00766,
916,49.80611,101.03859,
917,49.77494,101.06966,
918,49.74380,101.10084,
919,49.71269,101.13215,
920,49.68160,101.16359,
921,49.65054,101.19516,
922,49.61951,101.22685,
923,49.58851,101.25866,
924,49.55754,101.29061,
925,49.52660,101.32268,
926,49.49568,101.35488,
927,49.46479,101.38721,
928,49.43393,101.41966,
929,49.40310,101.45224,
930,49.37230,101.48496,
931,49.34153,101.51780,
932,49.31079,101.55077,
933,49.28007,101.58387,
934,49.24939,101.61710,
935,49.21873,101.65046,
936,49.18810,101.68395,
937,49.15751,101.71757,
938,49.12694,101.75132,
939,49.09640,101.78521,
940,49.06589,101.81922,
941,49.03541,101.85337,
942,49.00496,101.88765,
943,48.97453,101.92206,
944,48.94414,101.95660,
945,48.91378,101.99128,
946,48.88345,102.02609,
947,48.85315,102.06103,
948,48.82287,102.09611,
949,48.79263,102.13132,
950,48.76242,102.16667,
951,48.73224,102.20215,
952,48.70208,102.23776,
953,48.67196,102.27351,
954,48.64187,102.30940,
955,48.61181,102.34542,
956,48.58178,102.38158,
957,48.55178,102.41787,
958,48.52181,102.45430,
959,48.49187,102.49087,
960,48.46196,102.52757,
961,48.43208,102.56442,
962,48.40223,102.60140,
963,48.37242,102.63852,
964,48.34263,102.67577,
965,48.31288,102.71317,
966,48.28315,102.75070,
967,48.25346,102.78837,
968,48.22380,102.82619,
969,48.19417,102.86414,
970,48.16457,102.90223,
971,48.13500,102.94047,
972,48.10547,102.97884,
973,48.07596,103.01735,
974,48.04649,103.05601,
975,48.01705,103.09480,
976,47.98764,103.13374,
977,47.95826,103.17282,
978,47.92891,103.21205,
979,47.89960,103.25141,
980,47.87032,103.29092,
981,47.84107,103.33057,
982,47.81185,103.37037,
983,47.78266,103.41031,
984,47.75351,103.45039,
985,47.72439,103.49061,
986,47.69530,103.53099,
987,47.66624,103.57150,
988,47.63722,103.61216,
989,47.60822,103.65297,
990,47.57926,103.69392,
991,47.55034,103.73502,
992,47.52144,103.77627,
993,47.49258,103.81766,
994,47.46375,103.85919,
995,47.43496,103.90088,
996,47.40619,103.94271,
997,47.37746,103.98469,
998,47.34877,104.02682,
999,47.32010,104.06910,
1000,47.29147,104.11152,
1001,47.26288,104.15410,
1002,47.23431,104.19682,
1003,47.20578,104.23969,
1004,47.17728,104.28271,
1005,47.14882,104.32588,
1006,47.12039,104.36921,
1007,47.09199,104.41268,
1008,47.06363,104.45630,
1009,47.03530,104.50008,
1010,47.00701,104.54400,
1011,46.97875,104.58808,
1012,46.95052,104.63231,
1013,46.92233,104.67669,
1014,46.89417,104.72122,
1015,46.86604,104.76591,
1016,46.83795,104.81075,
1017,46.80989,104.85574,
1018,46.78187,104.90089,
1019,46.75388,104.94619,
1020,46.72593,104.99164,
1021,46.69801,105.03725,
1022,46.67013,105.08302,
1023,46.64228,105.12893,
1024,46.61446,105.17501,
1025,46.58668,105.22124,
1026,46.55894,105.26762,
1027,46.53123,105.31417,
1028,46.50355,105.36086,
1029,46.47591,105.40772,
1030,46.44831,105.45473,
1031,46.42074,105.50190,
1032,46.39320,105.54923,
1033,46.36570,105.59671,
1034,46.33824,105.64436,
1035,46.31081,105.69216,
1036,46.28342,105.74012,
1037,46.25606,105.78824,
1038,46.22874,105.83651,
1039,46.20145,105.88495,
1040,46.17420,105.93355,
1041,46.14698,105.98231,
1042,46.11980,106.03123,
1043,46.09266,106.08030,
1044,46.06555,106.12954,
1045,46.03848,106.17895,
1046,46.01145,106.22851,
1047,45.98445,106.27823,
1048,45.95749,106.32812,
1049,45.93056,106.37817,
1050,45.90367,106.42838,
1051,45.87681,106.47875,
1052,45.85000,106.52929,
1053,45.82322,106.57999,
1054,45.79647,106.63086,
1055,45.76977,106.68189,
1056,45.74310,106.73308,
1057,45.71646,106.78444,
1058,45.68986,106.83596,
1059,45.66330,106.88765,
1060,45.63678,106.93951,
1061,45.61030,106.99153,
1062,45.58385,107.04371,
1063,45.55743,107.09606,
1064,45.53106,107.14858,
1065,45.50472,107.20127,
1066,45.47842,107.25412,
1067,45.45216,107.30714,
1068,45.42594,107.36033,
1069,45.39975,107.41369,
1070,45.37360,107.46721,
1071,45.34749,107.52090,
1072,45.32141,107.57476,
1073,45.29538,107.62880,
1074,45.26938,107.68300,
1075,45.24342,107.73737,
1076,45.21749,107.79191,
1077,45.19161,107.84662,
1078,45.16576,107.90150,
1079,45.13996,107.95655,
1080,45.11419,108.01178,
1081,45.08845,108.06717,
1082,45.06276,108.12274,
1083,45.03711,108.17848,
1084,45.01149,108.23439,
1085,44.98591,108.29047,
1086,44.96037,108.34673,
1087,44.93487,108.40316,
1088,44.90941,108.45976,
1089,44.88399,108.51654,
1090,44.85860,108.57349,
1091,44.83326,108.63061,
1092,44.80795,108.68791,
1093,44.78269,108.74539,
1094,44.75746,108.80303,
1095,44.73227,108.86086,
1096,44.70712,108.91886,
1097,44.68201,108.97704,
1098,44.65694,109.03541,
1099,44.63191,109.09396,
1100,44.60692,109.15270,
1101,44.58197,109.21164,
1102,44.55706,109.27077,
1103,44.53218,109.33010,
1104,44.50735,109.38962,
1105,44.48256,109.44935,
1106,44.45780,109.50927,
1107,44.43309,109.56939,
1108,44.40842,109.62971,
1109,44.38379,109.69023,
1110,44.35919,109.75094,
1111,44.33464,109.81186,
1112,44.31013,109.87298,
1113,44.28566,109.93431,
1114,44.26122,109.99583,
1115,44.23683,110.05756,
1116,44.21248,110.11949,
1117,44.18817,110.18163,
1118,44.16390,110.24397,
1119,44.13968,110.30652,
1120,44.11549,110.36927,
1121,44.09134,110.43223,
1122,44.06724,110.49540,
1123,44.04317,110.55877,
1124,44.01915,110.62236,
1125,43.99516,110.68615,
1126,43.97122,110.75015,
1127,43.94732,110.81436,
1128,43.92346,110.87878,
1129,43.89964,110.94341,
1130,43.87587,111.00826,
1131,43.85213,111.07332,
1132,43.82844,111.13859,
1133,43.80479,111.20407,
1134,43.78118,111.26977,
1135,43.75761,111.33568,
1136,43.73408,111.40181,
1137,43.71060,111.46815,
1138,43.68716,111.53471,
1139,43.66376,111.60149,
1140,43.64040,111.66848,
1141,43.61708,111.73570,
1142,43.59381,111.80313,
1143,43.57058,111.87078,
1144,43.54739,111.93865,
1145,43.52424,112.00674,
1146,43.50113,112.07505,
1147,43.47807,112.14359,
1148,43.45505,112.21234,
1149,43.43207,112.28132,
1150,43.40914,112.35052,
1151,43.38625,112.41995,
1152,43.36340,112.48960,
1153,43.34059,112.55948,
1154,43.31783,112.62958,
1155,43.29511,112.69990,
1156,43.27243,112.77046,
1157,43.24980,112.84124,
1158,43.22721,112.91225,
1159,43.20466,112.98349,
1160,43.18216,113.05495,
1161,43.15970,113.12665,
1162,43.13728,113.19858,
1163,43.11490,113.27074,
1164,43.09257,113.34313,
1165,43.07029,113.41575,
1166,43.04804,113.48860,
1167,43.02585,113.56169,
1168,43.00369,113.63501,
1169,42.98158,113.70856,
1170,42.95951,113.78235,
1171,42.93749,113.85638,
1172,42.91551,113.93064,
1173,42.89357,114.00514,
1174,42.87168,114.07987,
1175,42.84984,114.15485,
1176,42.82803,114.23006,
1177,42.80628,114.30551,
1178,42.78456,114.38120,
1179,42.76289,114.45713,
1180,42.74127,114.53330,
1181,42.71969,114.60971,
1182,42.69815,114.68637,
1183,42.67666,114.76326,
1184,42.65522,114.84040,
1185,42.63382,114.91778,
1186,42.61246,114.99541,
1187,42.59115,115.07328,
1188,42.56989,115.15140,
1189,42.54867,115.22976,
1190,42.52749,115.30837,
1191,42.50636,115.38722,
1192,42.48528,115.46633,
1193,42.46424,115.54568,
1194,42.44325,115.62528,
1195,42.42230,115.70513,
1196,42.40140,115.78523,
1197,42.38054,115.86558,
1198,42.35974,115.94618,
1199,42.33899,116.02703,
1200,42.31830,116.10814,
1201,42.29766,116.18950,
1202,42.27709,116.27111,
1203,42.25657,116.35297,
1204,42.23611,116.43509,
1205,42.21572,116.51747,
1206,42.19538,116.60010,
1207,42.17510,116.68298,
1208,42.15488,116.76613,
1209,42.13472,116.84953,
1210,42.11462,116.93318,
1211,42.09459,117.01710,
1212,42.07461,117.10128,
1213,42.05469,117.18571,
1214,42.03483,117.27041,
1215,42.01504,117.35537,
1216,41.99530,117.44059,
1217,41.97562,117.52607,
1218,41.95601,117.61181,
1219,41.93646,117.69782,
1220,41.91697,117.78409,
1221,41.89754,117.87062,
1222,41.87817,117.95742,
1223,41.85886,118.04448,
1224,41.83962,118.13181,
1225,41.82043,118.21941,
1226,41.80131,118.30728,
1227,41.78225,118.39541,
1228,41.76326,118.48381,
1229,41.74432,118.57248,
1230,41.72545,118.66142,
1231,41.70664,118.75063,
1232,41.68789,118.84011,
1233,41.66921,118.92986,
1234,41.65059,119.01988,
1235,41.63203,119.11018,
1236,41.61354,119.20075,
1237,41.59511,119.29159,
1238,41.57674,119.38270,
1239,41.55844,119.47409,
1240,41.54020,119.56576,
1241,41.52203,119.65770,
1242,41.50392,119.74992,
1243,41.48587,119.84242,
1244,41.46789,119.93519,
1245,41.44997,120.02824,
1246,41.43211,120.12157,
1247,41.41432,120.21518,
1248,41.39660,120.30907,
1249,41.37894,120.40324,
1250,41.36135,120.49769,
1251,41.34382,120.59242,
