x,order1,order2,order3
1496.0,39.037245873145665,153.75109119064527,nan
1497.0,39.040369336235756,153.944365407501,nan
1498.0,39.04362792065585,154.1382172603375,nan
1499.0,39.0470219262337,154.33264837422118,nan
1500.0,39.0505516515586,154.52766037788422,nan
1501.0,39.054217394396275,154.72325490372862,nan
1502.0,39.05801945133698,154.91943358783104,nan
1503.0,39.06195811797506,155.11619806994636,nan
1504.0,39.06603368891797,155.31354999351248,nan
1505.0,39.07024645767197,155.51149100565436,nan
1506.0,39.074596716786374,155.71002275718843,nan
1507.0,39.0790847577378,155.90914690262662,nan
1508.0,39.08371087104799,156.10886510018062,nan
1509.0,39.08847534612,156.30917901176662,nan
1510.0,39.09337847154609,156.51009030300904,nan
1511.0,39.09842053466915,156.711600643245,nan
1512.0,39.10360182205202,156.91371170552867,nan
1513.0,39.10892261907664,157.1164251666352,nan
1514.0,39.1143832103667,157.31974270706564,nan
1515.0,39.11998387926906,157.52366601105035,nan
1516.0,39.12572490844426,157.728196766554,nan
1517.0,39.13160657937698,157.9333366652796,nan
1518.0,39.13762917275904,158.13908740267223,nan
1519.0,39.143792968162714,158.3454506779245,nan
1520.0,39.150098244342416,158.55242819397955,nan
1521.0,39.15654527901211,158.760021657536,nan
1522.0,39.16313434906023,158.96823277905224,nan
1523.0,39.16986573034944,159.17706327275033,nan
1524.0,39.17673969789069,159.3865148566207,nan
1525.0,39.18375652574001,159.59658925242593,nan
1526.0,39.190916487084515,159.80728818570546,nan
1527.0,39.19821985428582,160.01861338577962,nan
1528.0,39.20566689869447,160.2305665857539,nan
1529.0,39.21325789086153,160.44314952252338,nan
1530.0,39.220993100446485,160.6563639367766,nan
1531.0,39.22887279633964,160.8702115730006,nan
1532.0,39.23689724651816,161.0846941794841,nan
1533.0,39.24506671812372,161.29981350832276,nan
1534.0,39.25338147749866,161.51557131542293,nan
1535.0,39.26184179021603,161.73196936050584,nan
1536.0,39.27044792105294,161.94900940711244,nan
1537.0,39.27920013390069,162.1666932226069,nan
1538.0,39.2880986920224,162.38502257818138,nan
1539.0,39.29714385785409,162.60399924886028,nan
1540.0,39.306335893011955,162.82362501350406,nan
1541.0,39.31567505854262,163.0439016548144,nan
1542.0,39.32516161468411,163.26483095933727,nan
1543.0,39.334795821016066,163.48641471746822,nan
1544.0,39.344577936304724,163.70865472345616,nan
1545.0,39.35450821879459,163.93155277540768,nan
1546.0,39.36458692598531,164.15511067529144,nan
1547.0,39.374814314831326,164.37933022894214,nan
1548.0,39.385190641465734,164.60421324606537,nan
1549.0,39.395716161601904,164.82976154024098,nan
1550.0,39.40639113027784,165.05597692892835,nan
1551.0,39.41721580194408,165.28286123346993,nan
1552.0,39.42819043051478,165.51041627909558,nan
1553.0,39.43931526932343,165.73864389492758,nan
1554.0,39.45059057116057,165.9675459139836,nan
1555.0,39.46201658839009,166.19712417318215,nan
1556.0,39.473593572800304,166.42738051334624,nan
1557.0,39.48532177574624,166.65831677920775,nan
1558.0,39.49720144808737,166.88993481941185,nan
1559.0,39.509232840288085,167.12223648652093,nan
1560.0,39.52141620239746,167.35522363701926,nan
1561.0,39.53375178398724,167.58889813131705,nan
1562.0,39.54623983435478,167.82326183375466,nan
1563.0,39.558880602397345,168.05831661260694,nan
1564.0,39.57167433664707,168.29406434008757,nan
1565.0,39.584621285348454,168.53050689235332,nan
1566.0,39.59772169638985,168.76764614950807,nan
1567.0,39.61097581756401,169.00548399560734,nan
1568.0,39.62438389616118,169.2440223186625,nan
1569.0,39.637946179414826,169.48326301064498,nan
1570.0,39.65166291430411,169.7232079674906,nan
1571.0,39.66553434761685,169.96385908910366,nan
1572.0,39.67956072595462,170.20521827936156,nan
1573.0,39.693742295809464,170.44728744611865,nan
1574.0,39.708079303598694,170.69006850121076,nan
1575.0,39.722571995581724,170.93356336045946,nan
1576.0,39.73722061804478,171.1777739436763,nan
1577.0,39.752025417059976,171.4227021746668,nan
1578.0,39.76698663887003,171.66834998123517,nan
1579.0,39.78210452955847,171.9147192951883,nan
1580.0,39.7973793354764,172.16181205234008,nan
1581.0,39.81281130282005,172.4096301925157,nan
1582.0,39.828400677925316,172.65817565955587,nan
1583.0,39.84414770730864,172.9074504013211,nan
1584.0,39.860052637539866,173.15745636969586,nan
1585.0,39.87611571550047,173.4081955205932,nan
1586.0,39.892337188121566,173.65966981395857,nan
1587.0,39.90871730259243,173.91188121377436,nan
1588.0,39.925256306433816,174.16483168806403,nan
1589.0,39.94195444742421,174.41852320889643,nan
1590.0,39.95881197349926,174.67295775239023,nan
1591.0,39.97582913322922,174.92813729871773,nan
1592.0,39.99300617532515,175.18406383210976,nan
1593.0,40.010343348989075,175.44073934085947,nan
1594.0,40.02784090375363,175.69816581732653,nan
1595.0,40.04549908978203,175.9563452579419,nan
1596.0,40.06331815765462,176.2152796632116,nan
1597.0,40.08129835839582,176.47497103772125,nan
1598.0,40.09943994387193,176.73542139014026,nan
1599.0,40.11774316607427,176.99663273322602,nan
1600.0,40.136208277955895,177.2586070838283,nan
1601.0,40.15483553316683,177.5213464628935,nan
1602.0,40.17362518583673,177.78485289546865,nan
1603.0,40.19257749090504,178.049128410706,nan
1604.0,40.2116927041275,178.31417504186743,nan
1605.0,40.23097108193348,178.579994826328,nan
1606.0,40.25041288164751,178.84658980558106,nan
1607.0,40.2700183614807,179.11396202524196,nan
1608.0,40.2897877805021,179.38211353505244,nan
1609.0,40.30972139874963,179.6510463888851,nan
1610.0,40.32981947709014,179.92076264474736,nan
1611.0,40.35008227759801,180.19126436478592,nan
1612.0,40.37051006326023,180.46255361529103,nan
1613.0,40.391103098137755,180.7346324667007,nan
1614.0,40.4118616474879,181.00750299360487,nan
1615.0,40.432785977598094,181.28116727474986,nan
1616.0,40.453876356076506,181.55562739304256,nan
1617.0,40.475133051688424,181.8308854355546,nan
1618.0,40.496556334433926,182.10694349352679,nan
1619.0,40.518146475664295,182.38380366237328,nan
1620.0,40.53990374811716,182.66146804168582,nan
1621.0,40.561828425778295,182.93993873523806,nan
1622.0,40.58392078418756,183.21921785098976,nan
1623.0,40.6061811002539,183.49930750109115,nan
1624.0,40.62860965243751,183.78020980188717,nan
1625.0,40.651206720781374,184.06192687392155,nan
1626.0,40.6739725868404,184.34446084194153,nan
1627.0,40.696907533870174,184.62781383490147,nan
1628.0,40.72001184668328,184.91198798596776,nan
