wave,wave_error,dppm,dppm_err,order,quality
2.103,0.011,21271.8,106.30000000000001,1,0
2.125,0.011,20927.1,85.1,1,0
2.147,0.011,20742.5,106.30000000000001,1,0
2.169,0.011,20885.0,88.0,1,0
2.191,0.011,20773.4,106.30000000000001,1,0
2.2135,0.0115,20789.0,117.4,1,0
2.2365,0.0115,20772.800000000003,110.39999999999999,1,0
2.2595,0.0115,20894.4,115.3,1,0
2.2825,0.0115,20771.199999999997,95.1,1,0
2.306,0.012,21024.1,96.8,1,1
2.33,0.012,21128.600000000002,115.19999999999999,1,0
2.354,0.012,21210.100000000002,140.1,1,0
2.378,0.012,21207.7,100.1,1,0
2.4025,0.0125,20961.7,142.3,1,0
2.4275,0.0125,20979.0,138.3,1,0
2.4525,0.0125,21421.300000000003,116.30000000000001,1,0
2.4775,0.0125,21459.8,184.5,1,0
2.503,0.013,21343.0,151.2,1,1
2.529,0.013,21164.1,130.5,1,0
2.555,0.013,21434.5,172.8,1,0
2.581,0.013,21213.3,166.4,1,0
2.6075,0.0135,21507.1,162.7,1,0
2.6345,0.0135,21677.3,165.5,1,0
2.6615,0.0135,21848.0,184.1,1,0
2.6885,0.0135,21967.199999999997,129.3,1,0
2.716,0.014,22294.8,163.2,1,0
2.744,0.014,21590.300000000003,158.0,1,0
2.772,0.014,21464.8,179.8,1,0
