# Target: WASP-39b
# Instrument: NIRISS/SOSS
# Pipeline: transitspectroscopy
# Author: Espinoza
wave,wave_error,dppm,dppm_err,order
0.65448, 0.00020, 21103.70, 529.70, 2
0.65498, 0.00025, 20925.80, 356.20, 2
0.65538, 0.00020, 21393.60, 573.00, 2
0.65578, 0.00020, 21018.70, 537.20, 2
0.65618, 0.00020, 21559.40, 560.00, 2
0.65668, 0.00025, 20745.30, 550.10, 2
0.65708, 0.00020, 21156.40, 515.40, 2
0.65748, 0.00020, 20925.40, 436.90, 2
0.65788, 0.00020, 20953.80, 494.40, 2
0.65838, 0.00025, 21030.20, 360.00, 2
0.65878, 0.00020, 21065.70, 545.20, 2
0.65918, 0.00020, 21000.00, 562.10, 2
0.65958, 0.00020, 21273.70, 659.70, 2
0.66008, 0.00025, 20704.80, 563.10, 2
0.66048, 0.00020, 21088.80, 551.30, 2
0.66088, 0.00020, 21207.80, 385.50, 2
0.66138, 0.00025, 21447.40, 529.90, 2
0.66178, 0.00020, 20728.20, 426.40, 2
0.66218, 0.00020, 20964.50, 362.40, 2
0.66258, 0.00020, 21183.90, 322.70, 2
0.66308, 0.00025, 20642.20, 545.20, 2
0.66348, 0.00020, 20985.80, 413.40, 2
0.66388, 0.00020, 21405.70, 466.20, 2
0.66438, 0.00025, 20788.60, 433.70, 2
0.66478, 0.00020, 21126.40, 321.40, 2
0.66518, 0.00020, 21585.10, 476.60, 2
0.66558, 0.00020, 21303.70, 344.90, 2
0.66608, 0.00025, 21641.60, 484.30, 2
0.66648, 0.00020, 21118.30, 400.00, 2
0.66688, 0.00020, 21417.10, 480.70, 2
0.66738, 0.00025, 21312.90, 410.90, 2
0.66778, 0.00020, 21339.80, 444.30, 2
0.66818, 0.00020, 20700.20, 727.30, 2
0.66868, 0.00025, 21374.10, 492.10, 2
0.66908, 0.00020, 20946.30, 429.90, 2
0.66948, 0.00020, 20415.10, 392.90, 2
0.66988, 0.00020, 21456.90, 445.60, 2
0.67039, 0.00026, 21437.80, 874.60, 2
0.67079, 0.00020, 21164.70, 413.60, 2
0.67119, 0.00020, 20913.70, 455.90, 2
0.67169, 0.00025, 21118.80, 468.00, 2
0.67209, 0.00020, 21191.90, 477.20, 2
0.67249, 0.00020, 21055.70, 763.30, 2
0.67299, 0.00025, 20885.60, 395.10, 2
0.67339, 0.00020, 20683.90, 469.60, 2
0.67379, 0.00020, 20660.10, 314.00, 2
0.67429, 0.00025, 21301.60, 417.10, 2
0.67469, 0.00020, 21151.50, 533.40, 2
0.67509, 0.00020, 20918.20, 418.80, 2
0.67549, 0.00020, 21464.30, 353.70, 2
0.67599, 0.00025, 21341.80, 298.40, 2
0.67639, 0.00020, 20543.20, 438.10, 2
0.67679, 0.00020, 20475.50, 440.90, 2
0.67729, 0.00025, 21313.70, 295.50, 2
0.67769, 0.00020, 20609.90, 462.20, 2
0.67809, 0.00020, 21147.00, 285.60, 2
0.67859, 0.00025, 20929.70, 464.70, 2
0.67899, 0.00020, 20922.50, 385.10, 2
0.67939, 0.00020, 21339.30, 462.30, 2
0.67989, 0.00025, 20958.40, 636.50, 2
0.68029, 0.00020, 20651.40, 429.80, 2
0.68069, 0.00020, 21415.30, 390.00, 2
0.68119, 0.00025, 21059.30, 659.60, 2
0.68159, 0.00020, 20475.50, 328.60, 2
0.68199, 0.00020, 20891.50, 462.80, 2
0.68249, 0.00025, 20981.20, 405.00, 2
0.68289, 0.00020, 20647.30, 421.60, 2
0.68329, 0.00020, 20356.10, 423.60, 2
0.68379, 0.00025, 20763.80, 383.40, 2
0.68419, 0.00020, 20845.60, 303.20, 2
0.68459, 0.00020, 21214.20, 886.00, 2
0.68509, 0.00025, 21235.30, 326.00, 2
0.68549, 0.00020, 20856.80, 443.60, 2
0.68589, 0.00020, 20818.60, 436.30, 2
0.68639, 0.00025, 20599.80, 467.20, 2
0.68679, 0.00020, 20706.30, 502.00, 2
0.68719, 0.00020, 21137.70, 498.80, 2
0.68769, 0.00025, 21368.90, 429.10, 2
0.68809, 0.00020, 20778.40, 519.90, 2
0.68859, 0.00025, 21178.80, 524.20, 2
0.68899, 0.00020, 20859.30, 458.00, 2
0.68939, 0.00020, 21012.10, 416.70, 2
0.68989, 0.00025, 20577.40, 471.70, 2
