# WASP-39b Native Resolution Transmission Spectrum
# Created by: Catriona Murray
# Stellar spectra by: Adina Feinstein
# Created on: 2022-09-05 16:46:27.593193
wave,wave_err,dppm,dppm_err,order,quality
0.8754282110649052,0.002224910284743309,21245.742202746,157.24556172717755,1.0,0
0.8798808806146121,0.0022277127439718214,21013.419320076,154.60845546544905,1.0,0
0.8843392935748617,0.0022305670286068002,21137.288880654,151.38744700285133,1.0,0
0.8888033609412,0.0022333957792002312,21313.224861938,148.99584294254643,1.0,0
0.8932730771821144,0.002236189278134071,21399.742285954,148.72422877726575,1.0,0
0.8977483535757379,0.0022389808788219057,21192.322308103998,144.59915984284524,1.0,0
0.9022291857569398,0.002241722408469815,21229.226041246002,145.36396281565175,1.0,0
0.9067154880474334,0.0022444712286008306,21273.390577696002,140.39275185809012,1.0,0
0.9112072461905752,0.0022471625168424825,21254.168798566003,141.37710724547892,1.0,0
0.9157043883790911,0.0022498684323237206,21249.267475877998,133.99443838015745,1.0,0
0.9202068906654606,0.002252513222256114,21320.765207862,141.35607283863888,1.0,0
0.9247146871338805,0.002255173829498358,21371.110203766002,136.44375534536573,1.0,0
0.9292277536703004,0.002257776125775268,21495.287590332002,134.5145173562975,1.0,0
0.9337460185624338,0.0022603841989597417,21415.773978024,133.531857381369,1.0,0
0.938269468426058,0.002262947928282133,21319.347712564,133.9639811699303,1.0,0
0.9427980206351785,0.0022655076589108702,21324.57714011,131.83193879873033,1.0,0
0.9473316750171981,0.002268032293745059,21491.491399889997,128.52358101015412,1.0,0
0.9518703383713829,0.0022705366133447535,21333.624357652,128.1522367547498,1.0,0
0.9564140125965542,0.0022730287146636163,21301.104270412,126.96204912973546,1.0,0
0.960962613586069,0.002275482324111122,21431.888374586,127.79656513196126,1.0,0
0.9655161297845056,0.0022779303428223097,21218.623880832,127.40726964068345,1.0,0
0.9700744940115594,0.0022803370703745607,21245.39546602,122.161459297182,1.0,0
0.9746376764394347,0.002282745693701016,21145.995361658,122.33062838530151,1.0,0
0.9792056311954633,0.002285102483188639,21138.99741679,125.63257183672332,1.0,0
0.9837783013978465,0.0022874680987924334,21052.686213775996,119.38182661246621,1.0,0
0.9883556723796675,0.002289801282069459,20910.037415574003,119.73286940895858,1.0,0
0.992937666537205,0.0022921085099415484,21235.997584221997,117.69370771413911,1.0,0
0.9975242742845463,0.0022944025068906693,21045.110283531998,117.75667471994828,1.0,0
1.0021154281110418,0.0022966565041460107,21140.834484259998,115.74406970683319,1.0,0
1.006711096762336,0.0022989145748770756,21042.440047142,117.26610119512264,1.0,0
1.011311247142528,0.002301137067532766,21151.579410172002,116.57715796766327,1.0,0
1.015915810817265,0.0023033438748298884,21126.080195776,114.2345238913159,1.0,0
1.0205247769724117,0.002305531256140192,20932.245861094,112.02016974354285,1.0,0
1.0251380834268478,0.0023076819864102927,21001.860753016,112.52559263396114,1.0,0
1.0297556924615003,0.002309834099884278,21074.942873236003,113.93528797876174,1.0,0
1.0343775773015804,0.0023119591390687866,21031.027284638,112.43761634718827,1.0,0
1.039003671244846,0.0023140545277757774,20987.046251268,112.44144534283701,1.0,0
1.043633955496993,0.0023161427451163785,21023.684861491998,110.91413326365335,1.0,0
1.0482683906802612,0.002318199388060327,20978.970069836,109.5987797979421,1.0,0
1.0530926147705817,0.0027845409665634424,21070.638183424,110.47083523582758,1.0,0
1.0584785102044727,0.0023226731655694444,21161.538984694,110.45629444060992,1.0,0
1.0631259221722629,0.0023246561477485717,20937.074315104,109.93709422256852,1.0,0
1.0677773073856398,0.0023266426055792433,21035.587735862,109.6011157209215,1.0,0
1.0724326385660476,0.0023286056615900996,20959.303465532,108.8872630757785,1.0,0
1.077091853966596,0.0023305340732697744,20999.127762208,106.8966758725868,1.0,0
1.0817549301810536,0.0023324563705122703,21363.617804938003,111.1008754810741,1.0,0
1.0864218310528497,0.00233436334075543,21219.115600507997,110.47329798249693,1.0,0
1.0910925029737961,0.002336232569203678,21096.383181340003,110.4500446824668,1.0,0
1.0957669180038823,0.0023381007203711057,21100.546420270002,108.61101392437627,1.0,0
1.1004450433873996,0.0023399474139979004,21155.810315161998,106.75314366728465,1.0,0
1.1051268255823734,0.002341757959219315,21404.113574741998,107.62993947325965,1.0,0
1.1098122363437484,0.002343574459982789,21284.057226456003,106.4309205666191,1.0,0
1.1145012420221847,0.0023453619579596463,21416.140999381998,109.88937121726225,1.0,0
1.1191937992986887,0.002347118827211503,21422.488123982,107.35297037468678,1.0,0
1.1238898628371494,0.002348874387469224,21217.184535885997,106.13467254779262,1.0,0
1.1290596200583214,0.0028209396113391128,21333.708348628334,106.52992391843587,1.0,0
1.1347040284842504,0.002823389464327253,21508.905803255,107.09446251274115,1.0,0
1.1403533157375563,0.0028258248677792697,21289.683619001666,103.67829053492126,1.0,0
1.146007432469641,0.0028282259021030765,21334.134087465,107.44882573862589,1.0,0
1.1516663135545258,0.002830578148362073,21416.213094291663,105.36860014738693,1.0,0
1.1573298863363142,0.0028329230737875744,21230.49805559667,106.29563072030916,1.0,0
1.1629981042589563,0.0028352286657745696,21270.198804858337,107.37432556566661,1.0,0
1.168670896940691,0.002837494790761008,21412.493657178333,105.68806007198458,1.0,0
1.1743482009984303,0.0028397423743958816,21203.586408499996,107.34333463849678,1.0,0
1.1800299656268125,0.002841959315112108,21343.151374771667,106.47597154905213,1.0,0
1.1857161278392052,0.00284413450906551,21186.188158138335,108.2639884289139,1.0,0
1.1914066181187015,0.002846293385836085,21134.292096038334,106.37417689002777,1.0,0
1.1971013902842909,0.0028484167492465184,21157.86850602667,109.27497137471785,1.0,0
1.2028003869360273,0.00285051171277817,21315.093942221665,108.54643818048699,1.0,0
1.2085035299343263,0.002852573824345228,21174.94519214833,107.89877737316627,1.0,0
1.2142107831671711,0.0028546131744089376,21213.284409543332,108.31545742132433,1.0,0
1.219922083546322,0.002856625871399121,21172.194057491666,106.11159234979218,1.0,0
1.2256373671483252,0.0028585979131460215,21223.70984424333,109.17693864004399,1.0,0
1.2313565795965904,0.0028605555855449882,21199.295892508333,110.6614055357234,1.0,0
1.2370796696308428,0.002862479717913091,21132.389739111666,110.57490840295371,1.0,0
1.2428065839317515,0.0028643714913814122,20984.514447998332,109.50611223400999,1.0,0
1.2485372466852311,0.002866239292100725,21096.860264393334,109.57164313092397,1.0,0
1.2541760538255882,0.0028680823939339906,21081.257649332,110.71035735832112,1.0,0
1.2600096632824755,0.0028698987188979785,20955.148866785,112.17323138845934,1.0,0
1.265751299190449,0.00287168251356551,21241.09429164833,114.13579019239226,1.0,0
1.2714964713032069,0.0028734408223396457,20924.223437736666,114.48066628249137,1.0,0
1.2772451439540484,0.0028751746103556908,21096.68898910333,115.00656051534607,1.0,0
1.282997253941616,0.00287688463644431,20984.911519901663,116.2203832150342,1.0,0
1.2887527526387317,0.002878561922995182,21288.434375841665,117.39643772511619,1.0,0
1.294223559110482,0.0028802170310573416,21036.211513722003,117.49873112816823,1.0,0
1.3002736904640606,0.002881844302702108,20993.75023745833,117.15803950754422,1.0,0
1.3060390335533065,0.0028834525446723713,21099.905533805002,118.55501849426932,1.0,0
1.3118075636997677,0.002885027325598366,21208.11594228,119.52822740843077,1.0,0
1.3175792122212953,0.0028865750022256664,21152.948536010004,119.6623449733154,1.0,0
1.3233539439769204,0.0028881090184135205,21308.620581556665,121.4327076685655,1.0,0
1.3291317066425907,0.0028896091666414936,21500.17043686667,123.8888282211675,1.0,0
1.3349124538872392,0.002891090766386495,21489.24796882833,124.72857321538353,1.0,0
1.3406961276335707,0.0028925403415663853,21548.861365403336,124.09157229653269,1.0,0
1.3464826814306516,0.0028939714273794603,21477.157746036668,124.60190241593837,1.0,0
1.352272075048252,0.002895378126224646,21700.57393608667,127.67183496667006,1.0,0
1.3580642544299166,0.0028967614806146846,21662.493371040004,129.22103952268034,1.0,0
1.3638591781003244,0.002898119518683462,21683.304906434998,128.6167152958447,1.0,0
1.369656788869226,0.0028994500894736763,21583.31113612,128.9951272433683,1.0,0
1.3754570449480414,0.002900766137786448,21629.72518472,130.5778883204182,1.0,0
1.3812599054216872,0.0029020532545311895,21630.760687145,132.0928365814491,1.0,0
1.3870653185162347,0.002903322926356977,21693.535985575003,132.01739022061807,1.0,0
1.392873246364702,0.002904565302935369,21433.97609785,132.10692851740376,1.0,0
1.3986836328144803,0.0029057853721923266,21740.237171778335,134.8832346788082,1.0,0
1.4044964387816739,0.002906983106476524,21626.617130485,135.7118937156487,1.0,0
1.4103116245804375,0.0029081642958593834,21581.153471276666,137.30976368017082,1.0,0
1.416129140247744,0.0029093172086331887,21698.382054131667,141.2219646769009,1.0,0
1.4219489498730569,0.0029104539972811816,21718.492068276668,139.4707889391739,1.0,0
1.4277710032801014,0.002911565466655164,21750.003643843334,142.63287165244472,1.0,0
1.4335952586645877,0.0029126537754440296,21611.124204211665,142.68506723840738,1.0,0
1.4394216750131854,0.002913731396254393,21651.945340196668,142.74278473723507,1.0,0
1.4452502161759664,0.0029147774359860046,21678.280322901668,145.51078835041454,1.0,0
1.4510808338588326,0.0029158092662204815,21588.466608741666,148.30102890099076,1.0,0
1.4569134932657697,0.0029168191788654374,21481.57314205,148.46871944493154,1.0,0
1.4632344894829343,0.0034042031916353688,21469.25082293857,147.6890846368495,1.0,0
1.4700442432140959,0.0034055198548392784,21637.92901914857,152.47316050784866,1.0,0
1.4768565988412508,0.0034068043265300663,21519.287796884284,152.53223111548397,1.0,0
1.483671488848637,0.003408054533207361,21447.41971639428,154.06671715232798,1.0,0
1.4904888559349962,0.003409281339268211,21405.07796871857,154.9359384618976,1.0,0
1.497308637637041,0.0034104711220591666,21382.429967341428,158.19847542314295,1.0,0
1.5041307724495572,0.0034116342813214073,21355.39904171429,163.11067650347601,1.0,0
1.5109552015387802,0.003412768559329371,21426.722611679997,158.39479922446276,1.0,0
1.5177818706740884,0.0034138717566887244,21245.12844724286,160.540435867741,1.0,0
1.5246107189546485,0.0034149489963729573,21277.59031009572,163.61944204158732,1.0,0
1.531441692677772,0.003415998109331131,21231.32183698857,164.04308358571555,1.0,0
1.538274733582545,0.0034170170374927533,21215.344783837143,165.9864884759838,1.0,0
1.5451097835590564,0.0034180073790791576,21152.68764757,185.33242777800058,1.0,0
1.5519467928608068,0.003418977994389394,21142.5616031,185.10257203562077,1.0,0
1.5587857070226518,0.0034199143375952534,21096.862011194287,172.55181879806352,1.0,0
1.5656264734711016,0.0034208287510834046,21448.88956022857,174.62950992767603,1.0,0
1.5724690391319138,0.0034217163250397364,21259.085047067143,179.06219178071828,1.0,0
1.5793133531607566,0.0034225757016287384,20986.879809862854,181.07346936125975,1.0,0
1.5861593638641869,0.00342341313736394,21135.063634592858,186.31102210690423,1.0,0
1.5930070193780705,0.003424222655340259,21023.937767025716,183.19873781265972,1.0,0
1.5998562756846357,0.0034250110680417167,21015.180416897143,187.42600667372957,1.0,0
1.6067070813589734,0.003425775593653091,21220.285260452853,190.8502380158041,1.0,0
1.6135593890823308,0.0034265137344589025,21005.294270610004,190.35700063532244,1.0,0
1.62041315350493,0.0034272301898824464,21204.90003537286,192.68476752937335,1.0,0
1.6272683275300959,0.00342792458153629,21158.502962097144,190.07156202396393,1.0,0
1.6341248626700395,0.0034285957625794783,21004.514051250004,193.93839689815127,1.0,0
1.6409827187709483,0.0034292424542639033,21014.624798872857,197.7629412636302,1.0,0
1.6478418493825926,0.003429872119241173,21039.547342918573,199.0132598958475,1.0,0
1.6547022141266419,0.00343047681499975,21002.13891578143,198.87953140214458,1.0,0
1.6615637677007362,0.0034310617499229146,20960.824879298572,203.46236829599027,1.0,0
1.6684264738313022,0.003431628298032341,21014.321040172854,205.63650930251174,1.0,0
1.675290284027019,0.003432168754130105,20822.541570057143,207.35958559289435,1.0,0
1.6821551632762024,0.0034326936559618826,21107.115824511427,214.4095370188569,1.0,0
1.689021069010447,0.0034331987703790645,20961.189254637142,212.2100757620309,1.0,0
1.695887965612018,0.0034336844580292736,21002.00691130143,213.4824733617537,1.0,0
1.7027558152962778,0.0034341528762249496,20783.81136548143,216.4639898227327,1.0,0
1.7096245791311093,0.0034345987013286727,20836.757405164284,220.6788205427797,1.0,0
1.716494222639741,0.0034350312909825487,21079.992502275712,239.3430067314391,1.0,0
1.723364709636282,0.00343544428157716,21006.362208011426,226.6256397814266,1.0,0
1.7302360044561145,0.0034358397034121024,20914.645238914283,233.3247152897682,1.0,0
1.7371080742894216,0.0034362193769238436,21103.239154811432,232.3083160038992,1.0,0
1.7439808843849425,0.0034365814536991834,21033.572846145715,234.22095175678294,1.0,0
1.7508544033699365,0.0034369294366696224,21121.141096325715,239.38443949199126,1.0,0
1.7577286003399062,0.0034372573420596853,21428.128930975712,241.00980496827918,1.0,0
