# Target: WASP-39b
# Instrument: NIRISS/SOSS
# Pipeline: LPÕs pipeline
# 1D Extraction : BOX
# Author: Coulombe
# Date: 2022-08-05T23:02:00
wave,wave_error,dppm,dppm_err,order
0.62037,0.00019999999999997797,21276.32118532568,688.2100221085129,2
0.62087,0.0002500000000000835,20974.1314221756,529.4552765081316,2
0.62127,0.00019999999999997797,20274.20196083133,502.9605963386784,2
0.62167,0.00019999999999997797,21464.885400889583,540.4874169910472,2
0.62207,0.000200000000000089,20584.43599379636,496.1837261105066,2
0.62247,0.00019999999999997797,21532.14243257174,495.37904113620607,2
0.62287,0.00019999999999997797,21500.792576480697,528.086436636655,2
0.62327,0.00019999999999997797,21414.36965171721,502.125415700717,2
0.6237699999999999,0.00024999999999997247,20771.42183435579,507.14796282735915,2
0.62417,0.000200000000000089,20497.469138231005,515.2999661083522,2
0.62457,0.00019999999999997797,20944.2142336286,546.5172764390809,2
0.62497,0.00019999999999997797,21456.05796863949,498.53994522814537,2
0.62537,0.00019999999999997797,21586.809976201755,523.3031232382309,2
0.6258699999999999,0.00024999999999997247,22379.3482889147,436.960145826688,2
0.62627,0.000200000000000089,20209.553805974225,402.0880884763465,2
0.62667,0.00019999999999997797,19947.131312450263,503.06837203893883,2
0.62707,0.00019999999999997797,19547.40889994428,499.78628498312173,2
0.6278699999999999,0.00039999999999995595,21124.846554177875,499.131847546596,2
0.6287699999999999,0.00044999999999995044,21204.252744741774,434.22117152721694,2
0.62917,0.00019999999999997797,21432.8218879422,558.0215526553038,2
0.62957,0.00019999999999997797,20547.513361145884,459.7814178203808,2
0.62997,0.000200000000000089,20820.27503270612,489.30758340685503,2
0.63037,0.00019999999999997797,20987.518503292507,429.4037509852751,2
0.6308699999999999,0.00024999999999997247,21385.663270860558,445.6962517365573,2
0.63127,0.00019999999999997797,20354.39598398915,493.4454021459897,2
0.63167,0.00019999999999997797,20803.21250449169,472.7775715941788,2
0.63207,0.000200000000000089,21553.14883893436,438.3370203138474,2
0.63247,0.00019999999999997797,20446.49154700771,487.93895622047415,2
0.63297,0.0002500000000000835,19756.0921307829,399.0987809847611,2
0.63338,0.00020500000000001073,21560.046745334028,546.290643479646,2
0.63378,0.00019999999999997797,21374.695722901124,490.33150858837683,2
0.63418,0.00019999999999997797,20696.590771736104,475.442791872916,2
0.63458,0.000200000000000089,20692.659157936403,448.1434110125229,2
0.63508,0.00024999999999997247,21953.115807270297,389.8094371756269,2
0.63548,0.00019999999999997797,21151.167238118487,416.37321424861875,2
0.63588,0.00019999999999997797,20609.022055683447,428.3795340301404,2
0.6362800000000001,0.000200000000000089,21005.579740157147,637.1629874813261,2
0.63668,0.00019999999999997797,21067.02611715921,410.47551544076117,2
0.63718,0.00024999999999997247,21429.301937782133,466.7842122430775,2
0.63758,0.00019999999999997797,21437.33527342858,404.5878905906284,2
0.63798,0.00019999999999997797,21470.463716214203,476.85582295540365,2
0.6383800000000001,0.000200000000000089,20847.943510830268,406.4549682413452,2
0.63888,0.00024999999999997247,20034.08188886277,420.9943019096463,2
0.6392800000000001,0.00019999999999997797,20746.13563729964,432.4301395758084,2
0.63968,0.00019999999999997797,20531.374805128267,375.17052480429635,2
0.64008,0.00019999999999997797,20567.954037408745,419.94226609264666,2
0.64048,0.000200000000000089,21717.786612757023,425.29964295329415,2
0.64098,0.00024999999999997247,21447.632307834043,468.7225050515663,2
0.6413800000000001,0.00019999999999997797,21083.34679295188,369.4839222278679,2
0.64178,0.00019999999999997797,21869.03550992154,406.7778916531352,2
0.64218,0.00019999999999997797,22065.314662801607,437.339603253884,2
0.64258,0.000200000000000089,21579.148719278797,494.7962933162416,2
0.64308,0.00024999999999997247,20839.781265306083,387.1315667002455,2
0.64348,0.00019999999999997797,20735.771542115934,439.7717237654069,2
0.64388,0.00019999999999997797,20894.735658528865,417.4753031163127,2
0.64428,0.00019999999999997797,21652.544518548988,432.9967123115748,2
0.64478,0.00024999999999997247,21867.92656504837,451.9368666953306,2
0.64518,0.00019999999999997797,21316.62399426907,391.3864866300537,2
0.64558,0.00019999999999997797,20818.002336066984,399.9186231509448,2
0.64598,0.00019999999999997797,21049.90567987055,407.94567810794615,2
0.64648,0.00024999999999997247,20990.00995023741,387.45733131001913,2
0.64688,0.00019999999999997797,21325.70579879917,372.10961194334226,2
0.64728,0.00019999999999997797,21291.654146695382,386.64813446566774,2
0.64768,0.00019999999999997797,21064.673820012664,401.63732536626054,2
0.64818,0.00024999999999997247,21654.62839222285,399.97028163613504,2
0.64858,0.000200000000000089,21376.724602968683,381.3789033056783,2
0.64898,0.00019999999999997797,21388.362704462605,451.7990846816465,2
0.6493800000000001,0.00019999999999997797,20598.98393822623,313.9558087916848,2
0.64978,0.00019999999999997797,20805.267754739274,414.9328332956575,2
0.65028,0.00024999999999997247,21281.966481118696,412.8120144422865,2
