wavelength xh2o xco xco2 xch4 xnh3 xh2s xph3 xhcn xc2h2 xoh xna xk xso2
2.856831844636193996e+00 -2.262675323920950632e+01 -3.808358450446232268e+01 -2.301171008586067401e+01 -2.597196814996585346e+01 -2.272800884599219629e+01 -2.455419954902179924e+01 -2.353501923063032564e+01 -2.411134892056442069e+01 -2.418902730555997138e+01 -2.914548493878320556e+01 -2.995619280560372744e+01 -2.990626817948821170e+01 -2.600185652986068163e+01
2.855879884674636049e+00 -2.158450824604797091e+01 -3.775600335018218345e+01 -2.285982759666288899e+01 -2.583072016231724533e+01 -2.281272486418885848e+01 -2.475462624701580339e+01 -2.380163208761045723e+01 -2.428738628769271557e+01 -2.437837196328791123e+01 -2.887185535117741253e+01 -2.995615718087266899e+01 -2.990622315868402836e+01 -2.595060121147103871e+01
2.854928241927326749e+00 -2.131408996809775402e+01 -3.713029349831519710e+01 -2.311000408981445275e+01 -2.600552538199954355e+01 -2.315349686673947360e+01 -2.471097374839025917e+01 -2.373504833163354633e+01 -2.416254779883093562e+01 -2.416018743604742625e+01 -2.366756461301102377e+01 -2.995612166603738657e+01 -2.990617827625117542e+01 -2.596481033002834948e+01
2.853976916288563537e+00 -2.155663794919614773e+01 -3.708877117673593204e+01 -2.290744696350952125e+01 -2.595568731671544782e+01 -2.281888396315341438e+01 -2.458916817871119420e+01 -2.356978833917946048e+01 -2.409206497396181490e+01 -2.454320826129054467e+01 -2.864648493153687880e+01 -2.995608617011758312e+01 -2.990613341722312413e+01 -2.594810555651209327e+01
2.853025907652679383e+00 -2.231098172761292631e+01 -3.753083102637791058e+01 -2.305577398700329539e+01 -2.565195741269237928e+01 -2.289291370203124387e+01 -2.444681400412741823e+01 -2.370734572812107288e+01 -2.445665865795746541e+01 -2.414804474013799762e+01 -2.407796528735426023e+01 -2.995605066655441817e+01 -2.990608854803807048e+01 -2.588603054326327069e+01
2.852075215914041006e+00 -2.296482672759758259e+01 -3.877322654283658210e+01 -2.280474219596472096e+01 -2.605109089867775651e+01 -2.281581368675238863e+01 -2.506965953570667693e+01 -2.367629899799297277e+01 -2.399722834614978950e+01 -2.411656749572972913e+01 -2.532248874672023575e+01 -2.995601515534485060e+01 -2.990604366869180808e+01 -2.591324323166791288e+01
2.851124840967051988e+00 -2.257348441402538697e+01 -3.926231510661974511e+01 -2.292964021872782965e+01 -2.600618032464004870e+01 -2.302130290914780986e+01 -2.466148773178025877e+01 -2.349645197168310773e+01 -2.419623508952180302e+01 -2.456358656042079502e+01 -2.157852496501523021e+01 -2.995597963648595297e+01 -2.990599877918027261e+01 -2.586790820248306844e+01
2.850174782706149657e+00 -2.260602550014979073e+01 -3.713039025367236690e+01 -2.272634790493808055e+01 -2.557238723442578276e+01 -2.207312879336931744e+01 -2.465302425514152418e+01 -2.342535704936685903e+01 -2.403999874559327665e+01 -2.408919369324701876e+01 -2.405604412284689531e+01 -2.995594410997476231e+01 -2.990595387949938200e+01 -2.588838122798395247e+01
2.849225041025807315e+00 -2.145866281113332263e+01 -3.829805539230102340e+01 -2.283951390525565373e+01 -2.596444911269798439e+01 -2.253828577638233099e+01 -2.469246693517176539e+01 -2.384220426802338721e+01 -2.398144056837589133e+01 -2.451746896260749509e+01 -2.358764189242542741e+01 -2.995590857726003975e+01 -2.990590897148000238e+01 -2.583041251874599098e+01
2.848275615820533790e+00 -2.217811884094201602e+01 -4.218256534614411635e+01 -2.272175281673805713e+01 -2.582175340404158348e+01 -2.285172855801024028e+01 -2.487872132994113628e+01 -2.372754315394900360e+01 -2.409770762771773889e+01 -2.410116107512321904e+01 -2.835672562318659118e+01 -2.995587307525731546e+01 -2.990586410178385179e+01 -2.585450617572079679e+01
2.847326506984871664e+00 -2.284062772877915037e+01 -3.684931465723097688e+01 -2.287321998331310624e+01 -2.618809332627121478e+01 -2.222963847762489209e+01 -2.471607248727318762e+01 -2.363898434346696220e+01 -2.393488626463526359e+01 -2.477870783084410533e+01 -2.872459572162389208e+01 -2.995583770235985810e+01 -2.990581939478702012e+01 -2.582979512563805002e+01
2.846377714413400373e+00 -2.274062175883352310e+01 -3.680661124183020405e+01 -2.269723264619815595e+01 -2.618789071297262083e+01 -2.266595682999992789e+01 -2.491540230759202146e+01 -2.374722081723644962e+01 -2.412022874251231741e+01 -2.410636405362023282e+01 -2.895246350047527528e+01 -2.995580234275999487e+01 -2.990577470410638128e+01 -2.579354057189341631e+01
2.845429238000733552e+00 -2.270474226205020329e+01 -4.220976852395708789e+01 -2.291457554753113968e+01 -2.637362452420370929e+01 -2.283735283259570537e+01 -2.440610112075828297e+01 -2.372647877496977031e+01 -2.387333687302242780e+01 -2.451079652152560229e+01 -2.912049840212418061e+01 -2.995576698260479986e+01 -2.990573001223125260e+01 -2.578523668329131979e+01
2.844481077641519473e+00 -2.375218302763812517e+01 -3.781199957952188129e+01 -2.263071060565656367e+01 -2.597465990982168194e+01 -2.281423165401421471e+01 -2.447279202836912759e+01 -2.373922179292711121e+01 -2.393151891319464042e+01 -2.410696702935124947e+01 -2.334968036713080863e+01 -2.995573162189452177e+01 -2.990568531916188277e+01 -2.574001413210519829e+01
2.843533233230442825e+00 -2.350082052677948496e+01 -3.692916726878763001e+01 -2.274190407827830285e+01 -2.607579432942552344e+01 -2.267029272193648737e+01 -2.439347949873539179e+01 -2.343792486176009149e+01 -2.386083214314203715e+01 -2.479751976137045943e+01 -2.575417811657611722e+01 -2.995569290315211930e+01 -2.990563638135474278e+01 -2.575567799239080458e+01
2.842585704662221602e+00 -2.200019066229600995e+01 -3.824827930047876379e+01 -2.264101798868384918e+01 -2.589306844376381989e+01 -2.263892934386712952e+01 -2.460216967475319194e+01 -2.370881415418358884e+01 -2.395678023902397413e+01 -2.411078619049704130e+01 -2.875833900249202557e+01 -2.995565773705764201e+01 -2.990559193332682142e+01 -2.575709556680965306e+01
2.841638491831610658e+00 -2.266705205062146078e+01 -3.850077758313600640e+01 -2.266219530958426631e+01 -2.575518685459777402e+01 -2.266495691448403349e+01 -2.436283658599418800e+01 -2.369459068821549508e+01 -2.407548100249567824e+01 -2.456490446784002302e+01 -2.378397405593047864e+01 -2.995562187794387299e+01 -2.990554660875481474e+01 -2.573929644207591139e+01
2.840691594633399486e+00 -2.292468165478360120e+01 -3.692478669529733537e+01 -2.267994934585778211e+01 -2.576865293587470518e+01 -2.293271648516326167e+01 -2.468510540123891417e+01 -2.403347702760700244e+01 -2.371491577559998376e+01 -2.411705112806022200e+01 -2.848319406388083763e+01 -2.995558600314910080e+01 -2.990550126385513963e+01 -2.574107743397033587e+01
2.839745012962411774e+00 -2.280719533517013531e+01 -3.671128469159940266e+01 -2.264265798774735217e+01 -2.543494390825483720e+01 -2.301174090931038663e+01 -2.434919512422114707e+01 -2.375532533583442074e+01 -2.419421740869467286e+01 -2.411717287288754008e+01 -2.326480319511862760e+01 -2.995555037291887146e+01 -2.990545622755218602e+01 -2.572249597005651012e+01
2.838798746713507182e+00 -2.145842355926155776e+01 -3.664782010200124773e+01 -2.254454953393517869e+01 -2.612455980725923510e+01 -2.273780926345762410e+01 -2.472216187767087803e+01 -2.386306172187256891e+01 -2.370911899718004179e+01 -2.461113305182344746e+01 -2.857338892597426394e+01 -2.995551475424545629e+01 -2.990541120535376152e+01 -2.566601678918543072e+01
2.837852795781579562e+00 -2.144376549241250274e+01 -3.683707088933652329e+01 -2.251920587849190269e+01 -2.596131075566112401e+01 -2.287648006104747722e+01 -2.483601397360891738e+01 -2.367163554221312438e+01 -2.399611607371652511e+01 -2.412672048479646847e+01 -2.951432086775320585e+01 -2.995547912788112654e+01 -2.990536617293249222e+01 -2.566795537717153053e+01
2.836907160061559185e+00 -2.205088896862349657e+01 -3.903946040468888867e+01 -2.263457686853482542e+01 -2.555103951249706640e+01 -2.291929521260010816e+01 -2.470831225198907077e+01 -2.378130838854923468e+01 -2.370573765751908724e+01 -2.497185392854911257e+01 -2.947435549979801550e+01 -2.995544349382289795e+01 -2.990532113028425343e+01 -2.567506350508818258e+01
2.835961839448409627e+00 -2.134695905760479917e+01 -3.670930282483831775e+01 -2.253449629819997213e+01 -2.562235855339850588e+01 -2.263356382536992584e+01 -2.475362302547526028e+01 -2.373185806688972832e+01 -2.385471288225186726e+01 -2.407207267148574203e+01 -2.425653274114068125e+01 -2.995540789685559702e+01 -2.990527613402607798e+01 -2.563801695152300297e+01
2.835016833837129990e+00 -2.167186239295360295e+01 -3.725414307004226799e+01 -2.257819153552866709e+01 -2.608610260947149939e+01 -2.281462236362265017e+01 -2.474318549422564928e+01 -2.341325607583844004e+01 -2.504557438553382909e+01 -2.488248187574949810e+01 -2.304804216549010576e+01 -2.995537253038104097e+01 -2.990523142866504358e+01 -2.562167363506174667e+01
2.834072143122755794e+00 -2.206283161687595751e+01 -3.970969471196182354e+01 -2.249367483346551566e+01 -2.623442224916973942e+01 -2.257672110790493036e+01 -2.422491816894192951e+01 -2.376972654434672805e+01 -2.364315643566871472e+01 -2.412209726159620260e+01 -2.767798273509464480e+01 -2.995533716335488350e+01 -2.990518672211356943e+01 -2.563968842600979769e+01
2.833127767200355418e+00 -2.232117735718260576e+01 -3.665983529289443510e+01 -2.252717260266886257e+01 -2.628000006493171981e+01 -2.252212284206077442e+01 -2.424406253271595091e+01 -2.393651258394656267e+01 -2.399676313181296550e+01 -2.512283151057947705e+01 -2.899311441605581408e+01 -2.995529866201555080e+01 -2.990513805310784079e+01 -2.564761695463381841e+01
2.832183705965033660e+00 -2.207236580851381902e+01 -3.651703906935940580e+01 -2.242838415170450261e+01 -2.586972827633048411e+01 -2.279111674741692894e+01 -2.426145229665234027e+01 -2.390426759187928596e+01 -2.363200903595503988e+01 -2.412109110053606997e+01 -2.352489168284952115e+01 -2.995526336520048361e+01 -2.990509343437066292e+01 -2.554253492555412564e+01
2.831239959311929510e+00 -2.332501902735225841e+01 -3.833454318658029081e+01 -2.259290734418816271e+01 -2.573546180027041075e+01 -2.259145443107212259e+01 -2.416513007528589085e+01 -2.394688372027619394e+01 -2.399713873128294139e+01 -2.420718677941088259e+01 -2.297276493256755359e+01 -2.995522733326559717e+01 -2.990504788575066542e+01 -2.558520896679227974e+01
2.830296527136217044e+00 -2.334942528393613514e+01 -3.630281451101112822e+01 -2.239270656943109827e+01 -2.610463980450064270e+01 -2.302775342478730281e+01 -2.451232250342897956e+01 -2.382888305180145139e+01 -2.427352635348593779e+01 -2.514495786211673334e+01 -2.821007860865861616e+01 -2.995519139916247653e+01 -2.990500246028049602e+01 -2.555442544765715240e+01
2.829353409333106306e+00 -2.370559965225458399e+01 -4.069050692180358908e+01 -2.253671417159049284e+01 -2.585301819039296589e+01 -2.276873112672294397e+01 -2.427886635134480287e+01 -2.384886095255058436e+01 -2.356750934420138321e+01 -2.422812676031598755e+01 -2.539024575445786169e+01 -2.995515570334193711e+01 -2.990495733550221402e+01 -2.547676203736360634e+01
2.828410605797840205e+00 -2.426379544217935802e+01 -3.644294488663475562e+01 -2.237902302777583330e+01 -2.632902102666938049e+01 -2.277512321624856639e+01 -2.424143138712292611e+01 -2.380419298809582074e+01 -2.428576415748801054e+01 -2.529783328696107247e+01 -2.941066625963203407e+01 -2.995511999980067941e+01 -2.990491220045981535e+01 -2.546881771166523123e+01
2.827468116425697620e+00 -2.149631859020270497e+01 -3.777630762368245598e+01 -2.238513516785708646e+01 -2.624451182022212947e+01 -2.252031456577459423e+01 -2.466744836553511888e+01 -2.365614214910373647e+01 -2.358257200096628736e+01 -2.427742049964903615e+01 -2.889479519958313247e+01 -2.995508428853564453e+01 -2.990486705514906163e+01 -2.547920182932513811e+01
2.826525941111993401e+00 -2.273335583346635858e+01 -3.643749882315658795e+01 -2.254769003181470310e+01 -2.635981071061848624e+01 -2.251511119243017234e+01 -2.454589325905011776e+01 -2.323224333875483083e+01 -2.482660002837865321e+01 -2.427753266213434458e+01 -2.275905345691559489e+01 -2.995504875126928468e+01 -2.990482212933196848e+01 -2.547383423776422617e+01
