initials,color,name,filename,HR_filename
ZR,#419e60,FIREFly,ZR-WASP_39b_NIRISS_transmission_spectrum.csv,ZR-WASP_39b_NIRISS_transmission_spectrum_highres.csv
AT,#404040,iraclis,AT-WASP_39b_NIRISS_transmission_spectrum.csv,
CMADF,#b02e37,nirHiss,CMADF-WASP_39b_NIRISS_transmission_spectrum_R300.csv,CMADF-WASP_39b_NIRISS_transmission_spectrum_highres.csv
LPC,#93648D,NAMELESS,LPC-WASP_39b_NIRISS_transmission_spectrum.csv,LPC-WASP_39b_NIRISS_transmission_spectrum_highres.csv
NE,#4ab9cc,transitspectroscopy,NE-WASP_39b_NIRISS_transmission_spectrum.csv,NE-WASP_39b_NIRISS_transmission_spectrum_highres.csv
MCR,#ffb62f,supreme-SPOON,MCR-WASP_39b_NIRISS_transmission_spectrum.csv,MCR-WASP_39b_NIRISS_transmission_spectrum_highres.csv
ADF,#b02e37,nirHiss,
